240	0	0	180	0	0	0	0	1100
240	0	0	180	0	0	0	0	2000
0	0	240	0	0	140	0	0	2100
0	0	0	0	120	140	0	0	2200
0	0	0	180	360	0	0	0	2300
240	0	0	0	120	0	0	0	2400
240	0	0	0	360	0	0	0	2500
0	0	0	180	120	0	0	0	2500
0	0	240	0	0	0	0	120	2700
0	480	0	0	0	140	0	0	2700
0	480	0	0	0	0	0	120	2700
240	0	0	0	0	0	480	0	2700
0	0	0	180	0	140	0	0	2900
0	0	240	0	0	0	0	120	2900
240	0	0	180	0	0	0	0	2900
240	0	0	180	0	0	0	0	3100
0	0	0	0	360	0	1430	0	3800
0	0	240	0	360	0	0	0	3900
0	0	0	180	0	0	0	120	3900
0	0	240	0	0	140	0	0	4200
0	480	0	0	0	0	0	120	4600
240	0	0	0	0	0	1430	0	4900
0	0	240	0	0	0	0	360	5000
0	480	0	0	0	0	1430	0	5200
0	0	0	0	0	140	1430	0	5200
0	1430	0	0	0	0	480	0	5400
0	0	0	180	0	0	0	360	5600
240	480	0	0	0	0	0	0	7100
0	1430	0	0	0	0	0	360	8600
0	0	240	0	120	0	0	0	1900
0	0	0	180	0	140	0	0	2700
240	1430	0	0	0	0	0	0	5400
0	0	0	0	0	140	480	0	2500
710	0	240	0	0	0	0	0	4900
0	480	0	0	0	140	0	0	2500
0	0	0	0	0	0	480	120	2700
0	0	0	0	120	140	0	0	2200
0	0	0	180	0	0	0	360	5600
240	1430	0	0	0	0	0	0	5400
0	0	240	0	0	0	480	0	2300
0	0	0	0	120	140	0	0	2200
0	0	0	540	0	0	0	120	5900
710	480	0	0	0	0	0	0	5300
0	0	240	0	0	0	480	0	2300
0	0	240	0	0	0	0	120	2300
710	0	0	0	120	0	0	0	5000
0	0	0	540	120	0	0	0	5600
0	480	0	0	0	0	480	0	2700
0	0	240	0	120	0	0	0	1900
0	0	0	540	0	140	0	0	5700
710	480	0	0	0	0	0	0	5300
0	0	0	0	0	140	480	0	2500
0	0	0	540	0	0	0	120	5900
0	480	0	0	0	140	0	0	2500
0	0	240	0	0	0	0	120	2300
0	0	0	0	0	140	480	0	2500
0	0	240	0	120	0	0	0	1900
710	0	0	540	0	0	0	0	8600
0	480	0	0	0	0	0	120	2700
0	0	0	0	120	0	480	0	1700
